game_id,name,genre_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
7084,Marvel Puzzle Quest,Role-playing (RPG),2,NULL,40.0000,1,57.4042,10
1080,New Super Mario Bros. 2,Platform,28,NULL,77.0833,13,72.2166,92
1080,New Super Mario Bros. 2,Adventure,28,NULL,77.0833,13,72.2166,92
34667,Distrust,Strategy,10,1,80.0000,1,56.4572,10
34667,Distrust,Adventure,10,1,80.0000,1,56.4572,10
34667,Distrust,Indie,10,1,80.0000,1,56.4572,10
26298,Sea of Solitude,Adventure,28,19,70.3333,10,68.9595,36
26298,Sea of Solitude,Indie,28,19,70.3333,10,68.9595,36
7903,Abadox: The Deadly Inner War,Shooter,NULL,NULL,NULL,NULL,60.3695,11
1401,Professor Layton and the Miracle Mask,Puzzle,14,NULL,85.2000,7,82.3954,30
1401,Professor Layton and the Miracle Mask,Adventure,14,NULL,85.2000,7,82.3954,30
11194,The Legend of Zelda: Tri Force Heroes,Platform,14,4,71.8571,10,64.5695,28
11194,The Legend of Zelda: Tri Force Heroes,Puzzle,14,4,71.8571,10,64.5695,28
11194,The Legend of Zelda: Tri Force Heroes,Adventure,14,4,71.8571,10,64.5695,28
18311,The Turing Test,Puzzle,29,10,76.3750,10,68.9385,81
18311,The Turing Test,Strategy,29,10,76.3750,10,68.9385,81
18311,The Turing Test,Adventure,29,10,76.3750,10,68.9385,81
75125,Cube Escape: Arles,Puzzle,1,NULL,NULL,NULL,67.8582,12
75125,Cube Escape: Arles,Adventure,1,NULL,NULL,NULL,67.8582,12
75124,Cube Escape: The Lake,Puzzle,1,NULL,NULL,NULL,67.4878,12
75124,Cube Escape: The Lake,Adventure,1,NULL,NULL,NULL,67.4878,12
7326,Forza Horizon 2,Simulator,43,4,86.4118,17,82.7419,91
110807,Observation,Puzzle,20,7,82.0000,14,80.0919,49
110807,Observation,Simulator,20,7,82.0000,14,80.0919,49
110807,Observation,Adventure,20,7,82.0000,14,80.0919,49
110807,Observation,Indie,20,7,82.0000,14,80.0919,49
79994,Night Call,Simulator,7,5,60.0000,4,62.1411,15
79994,Night Call,Adventure,7,5,60.0000,4,62.1411,15
79994,Night Call,Indie,7,5,60.0000,4,62.1411,15
3852,Cel Damage,Shooter,5,NULL,50.8000,5,67.1183,10
6880,Metro Redux,Shooter,77,2,83.4000,11,83.7377,102
6880,Metro Redux,Role-playing (RPG),77,2,83.4000,11,83.7377,102
31198,Eternal Card Game,Puzzle,5,NULL,NULL,NULL,69.9575,16
31198,Eternal Card Game,Role-playing (RPG),5,NULL,NULL,NULL,69.9575,16
31198,Eternal Card Game,Strategy,5,NULL,NULL,NULL,69.9575,16
6142,Risen 3: Titan Lords,Role-playing (RPG),24,1,50.7143,8,70.0787,37
17625,Soul Gambler,Role-playing (RPG),5,NULL,NULL,NULL,59.1226,11
17625,Soul Gambler,Adventure,5,NULL,NULL,NULL,59.1226,11
17625,Soul Gambler,Indie,5,NULL,NULL,NULL,59.1226,11
22425,Oppai Slider 2,Simulator,55,NULL,NULL,NULL,69.8281,10
22425,Oppai Slider 2,Adventure,55,NULL,NULL,NULL,69.8281,10
15707,Clash Royale,Strategy,38,NULL,NULL,NULL,76.0443,89
2976,Survarium,Shooter,11,6,NULL,NULL,50.0600,10
2976,Survarium,Role-playing (RPG),11,6,NULL,NULL,50.0600,10
2976,Survarium,Adventure,11,6,NULL,NULL,50.0600,10
7841,Kingdom Hearts HD 2.5 ReMIX,Role-playing (RPG),31,NULL,82.5000,10,92.1917,38
7841,Kingdom Hearts HD 2.5 ReMIX,Adventure,31,NULL,82.5000,10,92.1917,38
11657,Epistory - Typing Chronicles,Puzzle,9,1,82.5000,3,70.4116,20
11657,Epistory - Typing Chronicles,Role-playing (RPG),9,1,82.5000,3,70.4116,20
11657,Epistory - Typing Chronicles,Adventure,9,1,82.5000,3,70.4116,20
11657,Epistory - Typing Chronicles,Indie,9,1,82.5000,3,70.4116,20
7209,King Arthur's Gold,Platform,5,1,NULL,NULL,68.6071,11
7209,King Arthur's Gold,Strategy,5,1,NULL,NULL,68.6071,11
7209,King Arthur's Gold,Indie,5,1,NULL,NULL,68.6071,11
3221,Rogue Legacy,Platform,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,Role-playing (RPG),77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,Adventure,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,Indie,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,Arcade,77,NULL,86.0000,14,76.7686,229
1269,Darksiders II,Role-playing (RPG),81,NULL,85.7500,20,76.6651,207
1269,Darksiders II,Adventure,81,NULL,85.7500,20,76.6651,207
7590,Escape Goat,Platform,5,NULL,NULL,NULL,71.1888,12
7590,Escape Goat,Puzzle,5,NULL,NULL,NULL,71.1888,12
7590,Escape Goat,Indie,5,NULL,NULL,NULL,71.1888,12
20331,For The King,Role-playing (RPG),31,2,76.0000,4,61.2654,38
20331,For The King,Strategy,31,2,76.0000,4,61.2654,38
20331,For The King,Adventure,31,2,76.0000,4,61.2654,38
20331,For The King,Indie,31,2,76.0000,4,61.2654,38
11812,Universe Sandbox Legacy,Simulator,NULL,NULL,84.0000,1,63.3204,10
11812,Universe Sandbox Legacy,Sport,NULL,NULL,84.0000,1,63.3204,10
11812,Universe Sandbox Legacy,Indie,NULL,NULL,84.0000,1,63.3204,10
106,Zak McKracken and the Alien Mindbenders,Adventure,16,NULL,NULL,NULL,81.9746,25
670,Command & Conquer 4: Tiberian Twilight,Strategy,9,NULL,65.0000,5,37.0282,24
24949,Pokémon Uranium,Role-playing (RPG),6,NULL,NULL,NULL,80.0747,11
24949,Pokémon Uranium,Adventure,6,NULL,NULL,NULL,80.0747,11
47398,L.A. Noire: The Complete Edition,Shooter,13,NULL,NULL,NULL,80.6153,32
47398,L.A. Noire: The Complete Edition,Strategy,13,NULL,NULL,NULL,80.6153,32
47398,L.A. Noire: The Complete Edition,Adventure,13,NULL,NULL,NULL,80.6153,32
15736,Edna & Harvey: The Breakout,Adventure,11,NULL,75.0000,2,84.6417,23
15736,Edna & Harvey: The Breakout,Indie,11,NULL,75.0000,2,84.6417,23
134101,FIFA 21,Simulator,20,2,72.3750,12,66.5469,49
134101,FIFA 21,Sport,20,2,72.3750,12,66.5469,49
28242,Danger Zone,Indie,1,NULL,63.5556,10,60.0000,1
21863,Fire Emblem Fates: Conquest,Role-playing (RPG),20,1,90.0000,5,81.6811,63
21863,Fire Emblem Fates: Conquest,Strategy,20,1,90.0000,5,81.6811,63
7071,Midnight Club: Los Angeles,Arcade,14,NULL,80.0000,9,75.4280,37
25599,Monster Boy and the Cursed Kingdom,Platform,7,5,79.0000,4,89.7450,21
25599,Monster Boy and the Cursed Kingdom,Role-playing (RPG),7,5,79.0000,4,89.7450,21
25599,Monster Boy and the Cursed Kingdom,Adventure,7,5,79.0000,4,89.7450,21
25599,Monster Boy and the Cursed Kingdom,Indie,7,5,79.0000,4,89.7450,21
1557,Pokémon Ruby,Role-playing (RPG),87,NULL,NULL,NULL,81.6621,239
1557,Pokémon Ruby,Adventure,87,NULL,NULL,NULL,81.6621,239
24220,Fire Emblem Fates: Birthright,Role-playing (RPG),17,NULL,90.0000,2,80.1298,65
24220,Fire Emblem Fates: Birthright,Strategy,17,NULL,90.0000,2,80.1298,65
28706,Madden NFL 18,Sport,13,3,79.4000,17,76.7554,13
22472,Artificial Academy 2,Simulator,86,NULL,NULL,NULL,77.8435,27
80348,MapleStory 2,Role-playing (RPG),3,1,100.0000,2,53.1588,14
80348,MapleStory 2,Simulator,3,1,100.0000,2,53.1588,14
80348,MapleStory 2,Adventure,3,1,100.0000,2,53.1588,14
26202,Nex Machina,Shooter,19,2,90.6875,18,80.2395,23
26202,Nex Machina,Indie,19,2,90.6875,18,80.2395,23
26202,Nex Machina,Arcade,19,2,90.6875,18,80.2395,23
1127,Castlevania: Bloodlines,Platform,14,NULL,NULL,NULL,74.5109,68
1127,Castlevania: Bloodlines,Adventure,14,NULL,NULL,NULL,74.5109,68
25577,Oh...Sir!! The Insult Simulator,Simulator,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,Indie,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,Arcade,4,NULL,62.2500,4,65.9589,10
22704,Orwell,Simulator,32,4,85.8333,7,68.0119,85
22704,Orwell,Adventure,32,4,85.8333,7,68.0119,85
22704,Orwell,Indie,32,4,85.8333,7,68.0119,85
75123,Samsara Room,Puzzle,1,NULL,NULL,NULL,60.6237,15
75123,Samsara Room,Adventure,1,NULL,NULL,NULL,60.6237,15
75123,Samsara Room,Indie,1,NULL,NULL,NULL,60.6237,15
25222,Rusty Lake: Roots,Puzzle,15,1,NULL,NULL,76.5290,36
25222,Rusty Lake: Roots,Adventure,15,1,NULL,NULL,76.5290,36
25222,Rusty Lake: Roots,Indie,15,1,NULL,NULL,76.5290,36
26772,NBA 2K18,Simulator,66,42,73.8000,11,69.8626,32
26772,NBA 2K18,Sport,66,42,73.8000,11,69.8626,32
9235,LSD: Dream Emulator,Simulator,8,NULL,NULL,NULL,70.0604,15
9235,LSD: Dream Emulator,Adventure,8,NULL,NULL,NULL,70.0604,15
9235,LSD: Dream Emulator,Indie,8,NULL,NULL,NULL,70.0604,15
1563,Soul Edge,Arcade,18,NULL,83.0000,1,84.2165,57
7879,Savant - Ascent,Shooter,3,NULL,NULL,NULL,59.9288,11
7879,Savant - Ascent,Indie,3,NULL,NULL,NULL,59.9288,11
7879,Savant - Ascent,Arcade,3,NULL,NULL,NULL,59.9288,11
42856,Kingdom Hearts Birth by Sleep Final Mix,Role-playing (RPG),4,NULL,NULL,NULL,72.5618,16
2338,Mario Party: Island Tour,Puzzle,2,NULL,55.1250,7,59.5563,10
2338,Mario Party: Island Tour,Strategy,2,NULL,55.1250,7,59.5563,10
2338,Mario Party: Island Tour,Adventure,2,NULL,55.1250,7,59.5563,10
54842,Biomutant,Role-playing (RPG),100,180,75.2000,19,56.6508,23
54842,Biomutant,Adventure,100,180,75.2000,19,56.6508,23
14900,Hostages,Shooter,NULL,NULL,NULL,NULL,70.0249,10
14900,Hostages,Simulator,NULL,NULL,NULL,NULL,70.0249,10
14900,Hostages,Sport,NULL,NULL,NULL,NULL,70.0249,10
14900,Hostages,Strategy,NULL,NULL,NULL,NULL,70.0249,10
2047,Poker Night 2,Puzzle,8,NULL,65.0000,4,75.9548,22
2047,Poker Night 2,Sport,8,NULL,65.0000,4,75.9548,22
2047,Poker Night 2,Strategy,8,NULL,65.0000,4,75.9548,22
3070,Euro Truck Simulator 2,Simulator,130,1,87.5000,2,80.0816,199
3070,Euro Truck Simulator 2,Indie,130,1,87.5000,2,80.0816,199
19900,The Little Mermaid,Platform,3,NULL,NULL,NULL,69.7094,17
9806,Hyper Light Drifter,Platform,112,10,88.9091,12,83.1892,184
9806,Hyper Light Drifter,Role-playing (RPG),112,10,88.9091,12,83.1892,184
9806,Hyper Light Drifter,Adventure,112,10,88.9091,12,83.1892,184
9806,Hyper Light Drifter,Indie,112,10,88.9091,12,83.1892,184
27988,Planescape: Torment - Enhanced Edition,Role-playing (RPG),20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,Strategy,20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,Adventure,20,1,79.7500,6,84.5780,17
9520,SimAnt,Simulator,NULL,NULL,NULL,NULL,71.8114,16
9520,SimAnt,Strategy,NULL,NULL,NULL,NULL,71.8114,16
5780,Cold Fear,Shooter,10,NULL,67.3333,4,71.2417,36
5780,Cold Fear,Adventure,10,NULL,67.3333,4,71.2417,36
24192,Enslaved: Odyssey to the West Premium Edition,Adventure,8,NULL,NULL,NULL,79.3207,20
7519,SimTower,Simulator,2,1,NULL,NULL,64.8443,10
7519,SimTower,Strategy,2,1,NULL,NULL,64.8443,10
103369,KILL la KILL: IF,Adventure,5,4,57.0000,3,69.9471,11
103369,KILL la KILL: IF,Arcade,5,4,57.0000,3,69.9471,11
26467,The Deed,Role-playing (RPG),4,NULL,NULL,NULL,59.9929,11
26467,The Deed,Adventure,4,NULL,NULL,NULL,59.9929,11
107300,Thronebreaker: The Witcher Tales,Role-playing (RPG),11,2,86.2500,8,85.7317,97
107300,Thronebreaker: The Witcher Tales,Strategy,11,2,86.2500,8,85.7317,97
107300,Thronebreaker: The Witcher Tales,Adventure,11,2,86.2500,8,85.7317,97
19474,Gwent: The Witcher Card Game,Strategy,66,13,85.0000,3,77.8758,97
1602,Gran Turismo 5,Simulator,32,NULL,85.0000,7,84.1743,108
1602,Gran Turismo 5,Sport,32,NULL,85.0000,7,84.1743,108
1599,Gran Turismo 5 Prologue,Simulator,3,NULL,81.5000,6,64.4201,15
36534,Lost Sphear,Role-playing (RPG),19,1,66.8182,13,60.0867,10
36534,Lost Sphear,Adventure,19,1,66.8182,13,60.0867,10
9462,Stronghold: Crusader Extreme,Simulator,2,NULL,40.0000,1,72.3256,11
9462,Stronghold: Crusader Extreme,Strategy,2,NULL,40.0000,1,72.3256,11
4412,Zero Wing,Shooter,2,NULL,NULL,NULL,69.7508,11
20284,Kingdom Hearts II Final Mix,Shooter,14,NULL,NULL,NULL,84.7458,36
20284,Kingdom Hearts II Final Mix,Platform,14,NULL,NULL,NULL,84.7458,36
20284,Kingdom Hearts II Final Mix,Role-playing (RPG),14,NULL,NULL,NULL,84.7458,36
20284,Kingdom Hearts II Final Mix,Adventure,14,NULL,NULL,NULL,84.7458,36
68362,Robocop,Shooter,NULL,NULL,NULL,NULL,55.1968,12
83727,Call of Duty: Black Ops 4,Shooter,60,7,83.5000,21,68.2965,106
9627,Gnomoria,Simulator,11,1,NULL,NULL,86.2791,15
9627,Gnomoria,Strategy,11,1,NULL,NULL,86.2791,15
9627,Gnomoria,Indie,11,1,NULL,NULL,86.2791,15
116133,ISLANDERS,Strategy,4,NULL,90.0000,2,74.3140,23
116133,ISLANDERS,Indie,4,NULL,90.0000,2,74.3140,23
15903,Tharsis,Puzzle,9,NULL,63.4286,9,73.8232,14
15903,Tharsis,Role-playing (RPG),9,NULL,63.4286,9,73.8232,14
15903,Tharsis,Simulator,9,NULL,63.4286,9,73.8232,14
15903,Tharsis,Strategy,9,NULL,63.4286,9,73.8232,14
15903,Tharsis,Adventure,9,NULL,63.4286,9,73.8232,14
15903,Tharsis,Indie,9,NULL,63.4286,9,73.8232,14
10965,Need for Speed,Simulator,60,7,62.4706,20,63.5441,134
10965,Need for Speed,Adventure,60,7,62.4706,20,63.5441,134
10965,Need for Speed,Arcade,60,7,62.4706,20,63.5441,134
11542,Shenmue III,Role-playing (RPG),87,32,67.5455,15,64.7776,14
11542,Shenmue III,Adventure,87,32,67.5455,15,64.7776,14
8739,Monaco: What's Yours Is Mine,Puzzle,11,NULL,86.1111,10,71.2490,41
8739,Monaco: What's Yours Is Mine,Strategy,11,NULL,86.1111,10,71.2490,41
8739,Monaco: What's Yours Is Mine,Adventure,11,NULL,86.1111,10,71.2490,41
8739,Monaco: What's Yours Is Mine,Indie,11,NULL,86.1111,10,71.2490,41
11605,The Typing of the Dead,Shooter,3,NULL,80.0000,1,65.4801,12
2381,Rise of the Triad,Shooter,7,NULL,66.5000,5,80.4849,22
13212,The Beginner's Guide,Adventure,64,NULL,74.8333,7,82.0121,173
13212,The Beginner's Guide,Indie,64,NULL,74.8333,7,82.0121,173
3697,The Settlers IV,Simulator,12,NULL,NULL,NULL,80.7053,28
3697,The Settlers IV,Strategy,12,NULL,NULL,NULL,80.7053,28
26546,Dynasty Warriors 9,Role-playing (RPG),14,3,65.1250,10,50.5180,9
26546,Dynasty Warriors 9,Adventure,14,3,65.1250,10,50.5180,9
1117,Haunted Castle,Platform,1,NULL,NULL,NULL,60.8166,10
1117,Haunted Castle,Adventure,1,NULL,NULL,NULL,60.8166,10
1725,Mega Man 2: The Power Fighters,Shooter,1,NULL,NULL,NULL,59.5416,11
1725,Mega Man 2: The Power Fighters,Arcade,1,NULL,NULL,NULL,59.5416,11
339,The Orange Box,Shooter,37,NULL,90.0000,5,89.9247,88
339,The Orange Box,Puzzle,37,NULL,90.0000,5,89.9247,88
1267,Sleeping Dogs,Shooter,181,NULL,82.0000,15,80.7389,458
1267,Sleeping Dogs,Adventure,181,NULL,82.0000,15,80.7389,458
144765,Life is Strange: True Colors,Adventure,8,3,84.2727,13,77.7709,37
37059,Age of Empires: Definitive Edition,Simulator,41,8,70.0000,5,89.0681,33
37059,Age of Empires: Definitive Edition,Strategy,41,8,70.0000,5,89.0681,33
37059,Age of Empires: Definitive Edition,Adventure,41,8,70.0000,5,89.0681,33
7386,The Talos Principle,Puzzle,104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,Adventure,104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,Indie,104,NULL,87.3333,12,87.3139,286
8621,Samorost 2,Adventure,19,NULL,NULL,NULL,77.1447,43
8621,Samorost 2,Indie,19,NULL,NULL,NULL,77.1447,43
6490,Chip 'n Dale Rescue Rangers,Platform,22,NULL,NULL,NULL,80.1018,73
6490,Chip 'n Dale Rescue Rangers,Adventure,22,NULL,NULL,NULL,80.1018,73
2181,Wii Sports,Simulator,42,NULL,75.0000,3,74.1110,248
2181,Wii Sports,Sport,42,NULL,75.0000,3,74.1110,248
7637,Sniper Elite: Nazi Zombie Army,Shooter,1,NULL,56.0000,2,64.3647,11
1523,Trauma Center: Under the Knife,Simulator,3,NULL,75.0000,2,78.5480,10
1523,Trauma Center: Under the Knife,Adventure,3,NULL,75.0000,2,78.5480,10
115054,Chernobylite,Shooter,22,9,76.5000,3,70.5260,10
115054,Chernobylite,Role-playing (RPG),22,9,76.5000,3,70.5260,10
115054,Chernobylite,Simulator,22,9,76.5000,3,70.5260,10
115054,Chernobylite,Adventure,22,9,76.5000,3,70.5260,10
115054,Chernobylite,Indie,22,9,76.5000,3,70.5260,10
1466,Perfect Dark,Shooter,9,NULL,70.0000,1,86.6792,22
3342,Snowboard Kids,Sport,5,NULL,40.0000,1,70.3298,16
25310,MLB The Show 17,Sport,4,2,87.0000,10,79.9922,5
9498,Deus Ex: Mankind Divided,Shooter,191,46,82.8621,36,77.7463,372
9498,Deus Ex: Mankind Divided,Role-playing (RPG),191,46,82.8621,36,77.7463,372
9498,Deus Ex: Mankind Divided,Adventure,191,46,82.8621,36,77.7463,372
10964,Sniper: Ghost Warrior 3,Shooter,36,7,53.3333,18,61.3641,30
9559,Titan Souls,Role-playing (RPG),36,7,72.3750,9,72.1789,68
9559,Titan Souls,Adventure,36,7,72.3750,9,72.1789,68
9559,Titan Souls,Indie,36,7,72.3750,9,72.1789,68
23431,PixelJunk Shooter Ultimate,Puzzle,2,NULL,NULL,NULL,75.1891,11
23431,PixelJunk Shooter Ultimate,Adventure,2,NULL,NULL,NULL,75.1891,11
36952,Wolfenstein II: The New Colossus,Shooter,203,14,86.5455,27,82.5722,379
36952,Wolfenstein II: The New Colossus,Adventure,203,14,86.5455,27,82.5722,379
119061,Atelier Ryza: Ever Darkness & the Secret Hideout,Role-playing (RPG),2,3,77.2857,7,80.0027,10
119061,Atelier Ryza: Ever Darkness & the Secret Hideout,Adventure,2,3,77.2857,7,80.0027,10
37024,Super Lucky's Tale,Platform,13,1,70.5000,8,69.7850,20
37024,Super Lucky's Tale,Adventure,13,1,70.5000,8,69.7850,20
100667,Cube Escape: Paradox,Puzzle,1,NULL,NULL,NULL,59.0118,17
100667,Cube Escape: Paradox,Adventure,1,NULL,NULL,NULL,59.0118,17
100667,Cube Escape: Paradox,Indie,1,NULL,NULL,NULL,59.0118,17
1812,Dragon Quest,Role-playing (RPG),14,NULL,NULL,NULL,70.2549,63
1812,Dragon Quest,Adventure,14,NULL,NULL,NULL,70.2549,63
12633,Atelier Sophie: The Alchemist of the Mysterious Book,Role-playing (RPG),9,NULL,76.0833,12,80.0000,5
12633,Atelier Sophie: The Alchemist of the Mysterious Book,Adventure,9,NULL,76.0833,12,80.0000,5
19282,Lifeline,Role-playing (RPG),5,NULL,80.0000,3,72.1863,11
19282,Lifeline,Strategy,5,NULL,80.0000,3,72.1863,11
19282,Lifeline,Adventure,5,NULL,80.0000,3,72.1863,11
19282,Lifeline,Indie,5,NULL,80.0000,3,72.1863,11
28414,Mario + Rabbids Kingdom Battle,Puzzle,46,6,83.3684,21,76.4420,125
28414,Mario + Rabbids Kingdom Battle,Role-playing (RPG),46,6,83.3684,21,76.4420,125
28414,Mario + Rabbids Kingdom Battle,Strategy,46,6,83.3684,21,76.4420,125
28414,Mario + Rabbids Kingdom Battle,Adventure,46,6,83.3684,21,76.4420,125
1151,Broken Sword: The Sleeping Dragon,Adventure,15,NULL,60.0000,2,71.9185,59
2924,Broken Sword 5: The Serpent's Curse,Puzzle,28,4,70.7143,14,73.2534,46
2924,Broken Sword 5: The Serpent's Curse,Role-playing (RPG),28,4,70.7143,14,73.2534,46
2924,Broken Sword 5: The Serpent's Curse,Adventure,28,4,70.7143,14,73.2534,46
11157,HITMAN,Shooter,173,23,78.5897,36,80.7375,369
11157,HITMAN,Adventure,173,23,78.5897,36,80.7375,369
103210,HITMAN 2,Shooter,64,16,82.4286,17,82.7573,159
103210,HITMAN 2,Adventure,64,16,82.4286,17,82.7573,159
6866,Puyo Puyo Tetris,Puzzle,13,NULL,84.3846,16,78.3911,34
6866,Puyo Puyo Tetris,Strategy,13,NULL,84.3846,16,78.3911,34
3506,Gex: Enter the Gecko,Platform,3,NULL,NULL,NULL,73.6445,23
3506,Gex: Enter the Gecko,Adventure,3,NULL,NULL,NULL,73.6445,23
