game_id,name,platform_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
20065,Resident Evil 4 HD,PC (Microsoft Windows),45,1,85.2500,23,89.0533,80
20065,Resident Evil 4 HD,PlayStation 3,45,1,85.2500,23,89.0533,80
20065,Resident Evil 4 HD,PlayStation 4,45,1,85.2500,23,89.0533,80
20065,Resident Evil 4 HD,Xbox One,45,1,85.2500,23,89.0533,80
20065,Resident Evil 4 HD,Nintendo Switch,45,1,85.2500,23,89.0533,80
5056,NBA 2K11,PC (Microsoft Windows),11,NULL,91.5000,5,89.9969,40
5056,NBA 2K11,PlayStation 3,11,NULL,91.5000,5,89.9969,40
9732,The Flame in the Flood,PC (Microsoft Windows),23,2,76.8824,18,76.9567,44
9732,The Flame in the Flood,Mac,23,2,76.8824,18,76.9567,44
9732,The Flame in the Flood,PlayStation 4,23,2,76.8824,18,76.9567,44
9732,The Flame in the Flood,Xbox One,23,2,76.8824,18,76.9567,44
9732,The Flame in the Flood,Nintendo Switch,23,2,76.8824,18,76.9567,44
103380,Bloons TD 6,PC (Microsoft Windows),3,NULL,NULL,NULL,72.2438,27
103380,Bloons TD 6,Mac,3,NULL,NULL,NULL,72.2438,27
103380,Bloons TD 6,Android,3,NULL,NULL,NULL,72.2438,27
103380,Bloons TD 6,iOS,3,NULL,NULL,NULL,72.2438,27
4839,Halo: Spartan Assault,PC (Microsoft Windows),11,NULL,66.0000,10,61.6472,40
4839,Halo: Spartan Assault,iOS,11,NULL,66.0000,10,61.6472,40
4839,Halo: Spartan Assault,Xbox One,11,NULL,66.0000,10,61.6472,40
888,Supreme Commander: Forged Alliance,PC (Microsoft Windows),13,NULL,75.0000,3,77.0296,28
138225,Super Mario 3D All-Stars,Nintendo Switch,15,3,84.8889,11,64.5020,28
1891,Magic: The Gathering - Duels of the Planeswalkers 2013,PC (Microsoft Windows),5,NULL,80.0000,4,72.1435,17
1891,Magic: The Gathering - Duels of the Planeswalkers 2013,PlayStation 3,5,NULL,80.0000,4,72.1435,17
1891,Magic: The Gathering - Duels of the Planeswalkers 2013,iOS,5,NULL,80.0000,4,72.1435,17
3802,Risen 2: Dark Waters,PC (Microsoft Windows),26,NULL,63.6667,7,74.0921,66
3802,Risen 2: Dark Waters,PlayStation 3,26,NULL,63.6667,7,74.0921,66
1284,Lollipop Chainsaw,PlayStation 3,16,NULL,69.0000,11,71.7274,53
15710,Aviary Attorney,PC (Microsoft Windows),7,NULL,79.3333,5,75.1621,18
15710,Aviary Attorney,Mac,7,NULL,79.3333,5,75.1621,18
240,Battlefield 1942,PC (Microsoft Windows),61,NULL,90.0000,1,79.0072,191
240,Battlefield 1942,Mac,61,NULL,90.0000,1,79.0072,191
5593,Daylight,PC (Microsoft Windows),1,NULL,49.7000,12,49.6232,16
5593,Daylight,PlayStation 4,1,NULL,49.7000,12,49.6232,16
1087,Donkey Kong Junior,Arcade,12,NULL,NULL,NULL,73.6632,50
9105,2048,Android,10,NULL,NULL,NULL,73.1108,39
9105,2048,iOS,10,NULL,NULL,NULL,73.1108,39
1876,Spore,PC (Microsoft Windows),59,1,82.0000,7,73.5058,243
1876,Spore,Mac,59,1,82.0000,7,73.5058,243
24423,Pokémon Trading Card Game Online,PC (Microsoft Windows),96,1,NULL,NULL,62.8710,38
24423,Pokémon Trading Card Game Online,Mac,96,1,NULL,NULL,62.8710,38
24423,Pokémon Trading Card Game Online,Android,96,1,NULL,NULL,62.8710,38
24423,Pokémon Trading Card Game Online,iOS,96,1,NULL,NULL,62.8710,38
81909,Exo One,PC (Microsoft Windows),1,3,NULL,NULL,70.0815,12
81909,Exo One,Xbox One,1,3,NULL,NULL,70.0815,12
7268,Akiba's Trip: Undead & Undressed,PC (Microsoft Windows),7,NULL,64.1429,9,40.5064,18
7268,Akiba's Trip: Undead & Undressed,PlayStation 3,7,NULL,64.1429,9,40.5064,18
7268,Akiba's Trip: Undead & Undressed,PlayStation 4,7,NULL,64.1429,9,40.5064,18
8141,Receiver,Linux,8,NULL,NULL,NULL,67.5620,12
8141,Receiver,PC (Microsoft Windows),8,NULL,NULL,NULL,67.5620,12
8141,Receiver,Mac,8,NULL,NULL,NULL,67.5620,12
945,Football Manager 2007,PC (Microsoft Windows),5,NULL,76.2500,3,78.3815,15
945,Football Manager 2007,Mac,5,NULL,76.2500,3,78.3815,15
1088,Donkey Kong 3,Arcade,4,NULL,NULL,NULL,59.5754,27
7084,Marvel Puzzle Quest,PC (Microsoft Windows),2,NULL,40.0000,1,57.4042,10
7084,Marvel Puzzle Quest,PlayStation 3,2,NULL,40.0000,1,57.4042,10
7084,Marvel Puzzle Quest,Android,2,NULL,40.0000,1,57.4042,10
7084,Marvel Puzzle Quest,iOS,2,NULL,40.0000,1,57.4042,10
7084,Marvel Puzzle Quest,PlayStation 4,2,NULL,40.0000,1,57.4042,10
7084,Marvel Puzzle Quest,Xbox One,2,NULL,40.0000,1,57.4042,10
34667,Distrust,PC (Microsoft Windows),10,1,80.0000,1,56.4572,10
34667,Distrust,Mac,10,1,80.0000,1,56.4572,10
34667,Distrust,PlayStation 4,10,1,80.0000,1,56.4572,10
34667,Distrust,Xbox One,10,1,80.0000,1,56.4572,10
34667,Distrust,Nintendo Switch,10,1,80.0000,1,56.4572,10
26298,Sea of Solitude,PC (Microsoft Windows),28,19,70.3333,10,68.9595,36
26298,Sea of Solitude,PlayStation 4,28,19,70.3333,10,68.9595,36
26298,Sea of Solitude,Xbox One,28,19,70.3333,10,68.9595,36
18311,The Turing Test,PC (Microsoft Windows),29,10,76.3750,10,68.9385,81
18311,The Turing Test,PlayStation 4,29,10,76.3750,10,68.9385,81
18311,The Turing Test,Xbox One,29,10,76.3750,10,68.9385,81
18311,The Turing Test,Nintendo Switch,29,10,76.3750,10,68.9385,81
75125,Cube Escape: Arles,Mac,1,NULL,NULL,NULL,67.8582,12
75125,Cube Escape: Arles,Android,1,NULL,NULL,NULL,67.8582,12
75125,Cube Escape: Arles,iOS,1,NULL,NULL,NULL,67.8582,12
75124,Cube Escape: The Lake,Mac,1,NULL,NULL,NULL,67.4878,12
75124,Cube Escape: The Lake,Android,1,NULL,NULL,NULL,67.4878,12
75124,Cube Escape: The Lake,iOS,1,NULL,NULL,NULL,67.4878,12
7326,Forza Horizon 2,Xbox One,43,4,86.4118,17,82.7419,91
110807,Observation,PC (Microsoft Windows),20,7,82.0000,14,80.0919,49
110807,Observation,PlayStation 4,20,7,82.0000,14,80.0919,49
110807,Observation,Xbox One,20,7,82.0000,14,80.0919,49
19765,Berserk and the Band of the Hawk,PC (Microsoft Windows),16,4,66.5714,15,78.1593,9
19765,Berserk and the Band of the Hawk,PlayStation 3,16,4,66.5714,15,78.1593,9
19765,Berserk and the Band of the Hawk,PlayStation 4,16,4,66.5714,15,78.1593,9
79994,Night Call,PC (Microsoft Windows),7,5,60.0000,4,62.1411,15
79994,Night Call,Xbox One,7,5,60.0000,4,62.1411,15
79994,Night Call,Nintendo Switch,7,5,60.0000,4,62.1411,15
6880,Metro Redux,Linux,77,2,83.4000,11,83.7377,102
6880,Metro Redux,PC (Microsoft Windows),77,2,83.4000,11,83.7377,102
6880,Metro Redux,PlayStation 4,77,2,83.4000,11,83.7377,102
6880,Metro Redux,Xbox One,77,2,83.4000,11,83.7377,102
6880,Metro Redux,Nintendo Switch,77,2,83.4000,11,83.7377,102
31198,Eternal Card Game,PC (Microsoft Windows),5,NULL,NULL,NULL,69.9575,16
31198,Eternal Card Game,Mac,5,NULL,NULL,NULL,69.9575,16
31198,Eternal Card Game,Android,5,NULL,NULL,NULL,69.9575,16
31198,Eternal Card Game,iOS,5,NULL,NULL,NULL,69.9575,16
31198,Eternal Card Game,Nintendo Switch,5,NULL,NULL,NULL,69.9575,16
6142,Risen 3: Titan Lords,PC (Microsoft Windows),24,1,50.7143,8,70.0787,37
6142,Risen 3: Titan Lords,PlayStation 3,24,1,50.7143,8,70.0787,37
17625,Soul Gambler,PC (Microsoft Windows),5,NULL,NULL,NULL,59.1226,11
22425,Oppai Slider 2,PC (Microsoft Windows),55,NULL,NULL,NULL,69.8281,10
15707,Clash Royale,Android,38,NULL,NULL,NULL,76.0443,89
15707,Clash Royale,iOS,38,NULL,NULL,NULL,76.0443,89
2976,Survarium,PC (Microsoft Windows),11,6,NULL,NULL,50.0600,10
15559,Just Dance 2015,PlayStation 3,5,NULL,76.6667,4,88.8636,13
15559,Just Dance 2015,PlayStation 4,5,NULL,76.6667,4,88.8636,13
15559,Just Dance 2015,Xbox One,5,NULL,76.6667,4,88.8636,13
7841,Kingdom Hearts HD 2.5 ReMIX,PlayStation 3,31,NULL,82.5000,10,92.1917,38
7841,Kingdom Hearts HD 2.5 ReMIX,PlayStation 4,31,NULL,82.5000,10,92.1917,38
7841,Kingdom Hearts HD 2.5 ReMIX,Xbox One,31,NULL,82.5000,10,92.1917,38
11657,Epistory - Typing Chronicles,Linux,9,1,82.5000,3,70.4116,20
11657,Epistory - Typing Chronicles,PC (Microsoft Windows),9,1,82.5000,3,70.4116,20
11657,Epistory - Typing Chronicles,Mac,9,1,82.5000,3,70.4116,20
11657,Epistory - Typing Chronicles,Nintendo Switch,9,1,82.5000,3,70.4116,20
7209,King Arthur's Gold,Linux,5,1,NULL,NULL,68.6071,11
7209,King Arthur's Gold,PC (Microsoft Windows),5,1,NULL,NULL,68.6071,11
7209,King Arthur's Gold,Mac,5,1,NULL,NULL,68.6071,11
3221,Rogue Legacy,Linux,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,PC (Microsoft Windows),77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,PlayStation 3,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,Mac,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,PlayStation 4,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,Xbox One,77,NULL,86.0000,14,76.7686,229
3221,Rogue Legacy,Nintendo Switch,77,NULL,86.0000,14,76.7686,229
1269,Darksiders II,PC (Microsoft Windows),81,NULL,85.7500,20,76.6651,207
1269,Darksiders II,PlayStation 3,81,NULL,85.7500,20,76.6651,207
1269,Darksiders II,Nintendo Switch,81,NULL,85.7500,20,76.6651,207
7590,Escape Goat,Linux,5,NULL,NULL,NULL,71.1888,12
7590,Escape Goat,PC (Microsoft Windows),5,NULL,NULL,NULL,71.1888,12
7590,Escape Goat,Mac,5,NULL,NULL,NULL,71.1888,12
6690,Fatal Fury 3: Road to the Final Victory,PC (Microsoft Windows),1,NULL,NULL,NULL,69.4351,18
6690,Fatal Fury 3: Road to the Final Victory,Arcade,1,NULL,NULL,NULL,69.4351,18
20331,For The King,Linux,31,2,76.0000,4,61.2654,38
20331,For The King,PC (Microsoft Windows),31,2,76.0000,4,61.2654,38
20331,For The King,Mac,31,2,76.0000,4,61.2654,38
20331,For The King,PlayStation 4,31,2,76.0000,4,61.2654,38
20331,For The King,Xbox One,31,2,76.0000,4,61.2654,38
20331,For The King,Nintendo Switch,31,2,76.0000,4,61.2654,38
11812,Universe Sandbox Legacy,PC (Microsoft Windows),NULL,NULL,84.0000,1,63.3204,10
670,Command & Conquer 4: Tiberian Twilight,Linux,9,NULL,65.0000,5,37.0282,24
670,Command & Conquer 4: Tiberian Twilight,PC (Microsoft Windows),9,NULL,65.0000,5,37.0282,24
24949,Pokémon Uranium,PC (Microsoft Windows),6,NULL,NULL,NULL,80.0747,11
47398,L.A. Noire: The Complete Edition,PC (Microsoft Windows),13,NULL,NULL,NULL,80.6153,32
47398,L.A. Noire: The Complete Edition,PlayStation 3,13,NULL,NULL,NULL,80.6153,32
15736,Edna & Harvey: The Breakout,PC (Microsoft Windows),11,NULL,75.0000,2,84.6417,23
15736,Edna & Harvey: The Breakout,Mac,11,NULL,75.0000,2,84.6417,23
15736,Edna & Harvey: The Breakout,iOS,11,NULL,75.0000,2,84.6417,23
134101,FIFA 21,PC (Microsoft Windows),20,2,72.3750,12,66.5469,49
134101,FIFA 21,PlayStation 4,20,2,72.3750,12,66.5469,49
134101,FIFA 21,Xbox One,20,2,72.3750,12,66.5469,49
28242,Danger Zone,PC (Microsoft Windows),1,NULL,63.5556,10,60.0000,1
28242,Danger Zone,PlayStation 4,1,NULL,63.5556,10,60.0000,1
28242,Danger Zone,Xbox One,1,NULL,63.5556,10,60.0000,1
7071,Midnight Club: Los Angeles,PlayStation 3,14,NULL,80.0000,9,75.4280,37
25599,Monster Boy and the Cursed Kingdom,PC (Microsoft Windows),7,5,79.0000,4,89.7450,21
25599,Monster Boy and the Cursed Kingdom,PlayStation 4,7,5,79.0000,4,89.7450,21
25599,Monster Boy and the Cursed Kingdom,Xbox One,7,5,79.0000,4,89.7450,21
25599,Monster Boy and the Cursed Kingdom,Nintendo Switch,7,5,79.0000,4,89.7450,21
111650,Warcraft III: Reforged,PC (Microsoft Windows),14,17,55.6667,7,60.2012,23
111650,Warcraft III: Reforged,Mac,14,17,55.6667,7,60.2012,23
28706,Madden NFL 18,PlayStation 4,13,3,79.4000,17,76.7554,13
28706,Madden NFL 18,Xbox One,13,3,79.4000,17,76.7554,13
22472,Artificial Academy 2,PC (Microsoft Windows),86,NULL,NULL,NULL,77.8435,27
80348,MapleStory 2,PC (Microsoft Windows),3,1,100.0000,2,53.1588,14
26202,Nex Machina,PC (Microsoft Windows),19,2,90.6875,18,80.2395,23
26202,Nex Machina,PlayStation 4,19,2,90.6875,18,80.2395,23
25577,Oh...Sir!! The Insult Simulator,Linux,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,PC (Microsoft Windows),4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,Mac,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,Android,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,iOS,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,PlayStation 4,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,Xbox One,4,NULL,62.2500,4,65.9589,10
25577,Oh...Sir!! The Insult Simulator,Nintendo Switch,4,NULL,62.2500,4,65.9589,10
22704,Orwell,Linux,32,4,85.8333,7,68.0119,85
22704,Orwell,PC (Microsoft Windows),32,4,85.8333,7,68.0119,85
22704,Orwell,Mac,32,4,85.8333,7,68.0119,85
22704,Orwell,Android,32,4,85.8333,7,68.0119,85
22704,Orwell,iOS,32,4,85.8333,7,68.0119,85
75123,Samsara Room,PC (Microsoft Windows),1,NULL,NULL,NULL,60.6237,15
75123,Samsara Room,Mac,1,NULL,NULL,NULL,60.6237,15
75123,Samsara Room,Android,1,NULL,NULL,NULL,60.6237,15
75123,Samsara Room,iOS,1,NULL,NULL,NULL,60.6237,15
25222,Rusty Lake: Roots,PC (Microsoft Windows),15,1,NULL,NULL,76.5290,36
25222,Rusty Lake: Roots,Mac,15,1,NULL,NULL,76.5290,36
25222,Rusty Lake: Roots,iOS,15,1,NULL,NULL,76.5290,36
26772,NBA 2K18,PC (Microsoft Windows),66,42,73.8000,11,69.8626,32
26772,NBA 2K18,PlayStation 3,66,42,73.8000,11,69.8626,32
26772,NBA 2K18,iOS,66,42,73.8000,11,69.8626,32
26772,NBA 2K18,PlayStation 4,66,42,73.8000,11,69.8626,32
26772,NBA 2K18,Xbox One,66,42,73.8000,11,69.8626,32
26772,NBA 2K18,Nintendo Switch,66,42,73.8000,11,69.8626,32
9235,LSD: Dream Emulator,PlayStation 3,8,NULL,NULL,NULL,70.0604,15
1563,Soul Edge,Arcade,18,NULL,83.0000,1,84.2165,57
7879,Savant - Ascent,Linux,3,NULL,NULL,NULL,59.9288,11
7879,Savant - Ascent,PC (Microsoft Windows),3,NULL,NULL,NULL,59.9288,11
7879,Savant - Ascent,Mac,3,NULL,NULL,NULL,59.9288,11
7879,Savant - Ascent,Android,3,NULL,NULL,NULL,59.9288,11
7879,Savant - Ascent,iOS,3,NULL,NULL,NULL,59.9288,11
54842,Biomutant,PC (Microsoft Windows),100,180,75.2000,19,56.6508,23
54842,Biomutant,PlayStation 4,100,180,75.2000,19,56.6508,23
54842,Biomutant,Xbox One,100,180,75.2000,19,56.6508,23
14900,Hostages,Mac,NULL,NULL,NULL,NULL,70.0249,10
2047,Poker Night 2,PC (Microsoft Windows),8,NULL,65.0000,4,75.9548,22
2047,Poker Night 2,PlayStation 3,8,NULL,65.0000,4,75.9548,22
2047,Poker Night 2,Mac,8,NULL,65.0000,4,75.9548,22
3070,Euro Truck Simulator 2,Linux,130,1,87.5000,2,80.0816,199
3070,Euro Truck Simulator 2,PC (Microsoft Windows),130,1,87.5000,2,80.0816,199
3070,Euro Truck Simulator 2,Mac,130,1,87.5000,2,80.0816,199
9806,Hyper Light Drifter,Linux,112,10,88.9091,12,83.1892,184
9806,Hyper Light Drifter,PC (Microsoft Windows),112,10,88.9091,12,83.1892,184
9806,Hyper Light Drifter,Mac,112,10,88.9091,12,83.1892,184
9806,Hyper Light Drifter,PlayStation 4,112,10,88.9091,12,83.1892,184
9806,Hyper Light Drifter,Xbox One,112,10,88.9091,12,83.1892,184
27988,Planescape: Torment - Enhanced Edition,Linux,20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,PC (Microsoft Windows),20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,Mac,20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,Android,20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,iOS,20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,PlayStation 4,20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,Xbox One,20,1,79.7500,6,84.5780,17
27988,Planescape: Torment - Enhanced Edition,Nintendo Switch,20,1,79.7500,6,84.5780,17
9520,SimAnt,PC (Microsoft Windows),NULL,NULL,NULL,NULL,71.8114,16
9520,SimAnt,Mac,NULL,NULL,NULL,NULL,71.8114,16
5780,Cold Fear,PC (Microsoft Windows),10,NULL,67.3333,4,71.2417,36
24192,Enslaved: Odyssey to the West Premium Edition,PC (Microsoft Windows),8,NULL,NULL,NULL,79.3207,20
7519,SimTower,PC (Microsoft Windows),2,1,NULL,NULL,64.8443,10
7519,SimTower,Mac,2,1,NULL,NULL,64.8443,10
103369,KILL la KILL: IF,PC (Microsoft Windows),5,4,57.0000,3,69.9471,11
103369,KILL la KILL: IF,PlayStation 4,5,4,57.0000,3,69.9471,11
103369,KILL la KILL: IF,Nintendo Switch,5,4,57.0000,3,69.9471,11
26467,The Deed,PC (Microsoft Windows),4,NULL,NULL,NULL,59.9929,11
107300,Thronebreaker: The Witcher Tales,PC (Microsoft Windows),11,2,86.2500,8,85.7317,97
107300,Thronebreaker: The Witcher Tales,iOS,11,2,86.2500,8,85.7317,97
107300,Thronebreaker: The Witcher Tales,PlayStation 4,11,2,86.2500,8,85.7317,97
107300,Thronebreaker: The Witcher Tales,Xbox One,11,2,86.2500,8,85.7317,97
107300,Thronebreaker: The Witcher Tales,Nintendo Switch,11,2,86.2500,8,85.7317,97
19474,Gwent: The Witcher Card Game,PC (Microsoft Windows),66,13,85.0000,3,77.8758,97
19474,Gwent: The Witcher Card Game,Android,66,13,85.0000,3,77.8758,97
19474,Gwent: The Witcher Card Game,iOS,66,13,85.0000,3,77.8758,97
19474,Gwent: The Witcher Card Game,PlayStation 4,66,13,85.0000,3,77.8758,97
19474,Gwent: The Witcher Card Game,Xbox One,66,13,85.0000,3,77.8758,97
1602,Gran Turismo 5,PlayStation 3,32,NULL,85.0000,7,84.1743,108
1599,Gran Turismo 5 Prologue,PlayStation 3,3,NULL,81.5000,6,64.4201,15
36534,Lost Sphear,PC (Microsoft Windows),19,1,66.8182,13,60.0867,10
36534,Lost Sphear,PlayStation 4,19,1,66.8182,13,60.0867,10
36534,Lost Sphear,Nintendo Switch,19,1,66.8182,13,60.0867,10
9462,Stronghold: Crusader Extreme,PC (Microsoft Windows),2,NULL,40.0000,1,72.3256,11
4412,Zero Wing,Arcade,2,NULL,NULL,NULL,69.7508,11
83727,Call of Duty: Black Ops 4,PC (Microsoft Windows),60,7,83.5000,21,68.2965,106
83727,Call of Duty: Black Ops 4,PlayStation 4,60,7,83.5000,21,68.2965,106
83727,Call of Duty: Black Ops 4,Xbox One,60,7,83.5000,21,68.2965,106
9627,Gnomoria,Linux,11,1,NULL,NULL,86.2791,15
9627,Gnomoria,PC (Microsoft Windows),11,1,NULL,NULL,86.2791,15
9627,Gnomoria,Mac,11,1,NULL,NULL,86.2791,15
116133,ISLANDERS,Linux,4,NULL,90.0000,2,74.3140,23
116133,ISLANDERS,PC (Microsoft Windows),4,NULL,90.0000,2,74.3140,23
116133,ISLANDERS,Mac,4,NULL,90.0000,2,74.3140,23
15903,Tharsis,PC (Microsoft Windows),9,NULL,63.4286,9,73.8232,14
15903,Tharsis,Mac,9,NULL,63.4286,9,73.8232,14
15903,Tharsis,PlayStation 4,9,NULL,63.4286,9,73.8232,14
15903,Tharsis,Nintendo Switch,9,NULL,63.4286,9,73.8232,14
10965,Need for Speed,PC (Microsoft Windows),60,7,62.4706,20,63.5441,134
10965,Need for Speed,PlayStation 4,60,7,62.4706,20,63.5441,134
10965,Need for Speed,Xbox One,60,7,62.4706,20,63.5441,134
11542,Shenmue III,PC (Microsoft Windows),87,32,67.5455,15,64.7776,14
11542,Shenmue III,PlayStation 4,87,32,67.5455,15,64.7776,14
8739,Monaco: What's Yours Is Mine,Linux,11,NULL,86.1111,10,71.2490,41
8739,Monaco: What's Yours Is Mine,PC (Microsoft Windows),11,NULL,86.1111,10,71.2490,41
8739,Monaco: What's Yours Is Mine,Mac,11,NULL,86.1111,10,71.2490,41
8739,Monaco: What's Yours Is Mine,Nintendo Switch,11,NULL,86.1111,10,71.2490,41
11605,The Typing of the Dead,PC (Microsoft Windows),3,NULL,80.0000,1,65.4801,12
11605,The Typing of the Dead,Arcade,3,NULL,80.0000,1,65.4801,12
2381,Rise of the Triad,PC (Microsoft Windows),7,NULL,66.5000,5,80.4849,22
19470,Injustice 2,PC (Microsoft Windows),83,20,86.3889,21,81.2761,127
19470,Injustice 2,PlayStation 4,83,20,86.3889,21,81.2761,127
19470,Injustice 2,Xbox One,83,20,86.3889,21,81.2761,127
13212,The Beginner's Guide,PC (Microsoft Windows),64,NULL,74.8333,7,82.0121,173
13212,The Beginner's Guide,Mac,64,NULL,74.8333,7,82.0121,173
3697,The Settlers IV,PC (Microsoft Windows),12,NULL,NULL,NULL,80.7053,28
3697,The Settlers IV,Android,12,NULL,NULL,NULL,80.7053,28
3697,The Settlers IV,iOS,12,NULL,NULL,NULL,80.7053,28
26546,Dynasty Warriors 9,PC (Microsoft Windows),14,3,65.1250,10,50.5180,9
26546,Dynasty Warriors 9,PlayStation 4,14,3,65.1250,10,50.5180,9
26546,Dynasty Warriors 9,Xbox One,14,3,65.1250,10,50.5180,9
1117,Haunted Castle,Arcade,1,NULL,NULL,NULL,60.8166,10
1725,Mega Man 2: The Power Fighters,Arcade,1,NULL,NULL,NULL,59.5416,11
339,The Orange Box,PC (Microsoft Windows),37,NULL,90.0000,5,89.9247,88
339,The Orange Box,PlayStation 3,37,NULL,90.0000,5,89.9247,88
339,The Orange Box,Mac,37,NULL,90.0000,5,89.9247,88
1267,Sleeping Dogs,PC (Microsoft Windows),181,NULL,82.0000,15,80.7389,458
1267,Sleeping Dogs,PlayStation 3,181,NULL,82.0000,15,80.7389,458
1267,Sleeping Dogs,PlayStation 4,181,NULL,82.0000,15,80.7389,458
1267,Sleeping Dogs,Xbox One,181,NULL,82.0000,15,80.7389,458
144765,Life is Strange: True Colors,PC (Microsoft Windows),8,3,84.2727,13,77.7709,37
144765,Life is Strange: True Colors,PlayStation 4,8,3,84.2727,13,77.7709,37
144765,Life is Strange: True Colors,Xbox One,8,3,84.2727,13,77.7709,37
144765,Life is Strange: True Colors,Nintendo Switch,8,3,84.2727,13,77.7709,37
37059,Age of Empires: Definitive Edition,PC (Microsoft Windows),41,8,70.0000,5,89.0681,33
7386,The Talos Principle,Linux,104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,PC (Microsoft Windows),104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,Mac,104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,Android,104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,iOS,104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,PlayStation 4,104,NULL,87.3333,12,87.3139,286
7386,The Talos Principle,Xbox One,104,NULL,87.3333,12,87.3139,286
8621,Samorost 2,Linux,19,NULL,NULL,NULL,77.1447,43
8621,Samorost 2,PC (Microsoft Windows),19,NULL,NULL,NULL,77.1447,43
8621,Samorost 2,Mac,19,NULL,NULL,NULL,77.1447,43
8621,Samorost 2,Android,19,NULL,NULL,NULL,77.1447,43
8621,Samorost 2,iOS,19,NULL,NULL,NULL,77.1447,43
7637,Sniper Elite: Nazi Zombie Army,PC (Microsoft Windows),1,NULL,56.0000,2,64.3647,11
